DevelopmentID,departmentID,initiative_type,initiative_date
1,262,nulla ut erat id mauris vulputate elementum nullam varius nulla facilisi cras non velit nec nisi,1386-09-05
2,145,tortor duis mattis egestas metus aenean fermentum donec ut mauris eget massa tempor convallis nulla neque,1352-05-17
3,275,nulla ac enim in tempor turpis nec euismod scelerisque quam turpis adipiscing lorem,1500-03-28
4,358,tellus nisi eu orci mauris lacinia sapien quis libero nullam sit amet turpis elementum ligula vehicula consequat morbi a ipsum,1301-05-27
5,111,condimentum neque sapien placerat ante nulla justo aliquam quis turpis eget elit sodales scelerisque mauris sit,1558-10-08
6,278,mattis egestas metus aenean fermentum donec ut mauris eget massa tempor convallis nulla neque libero convallis eget eleifend luctus ultricies,1247-01-22
7,373,justo sollicitudin ut suscipit a feugiat et eros vestibulum ac,1549-03-02
8,167,odio justo sollicitudin ut suscipit a feugiat et eros vestibulum ac est lacinia nisi venenatis tristique fusce,1356-07-19
9,12,iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean,1522-04-16
10,176,luctus tincidunt nulla mollis molestie lorem quisque ut erat curabitur gravida nisi,1715-05-16
11,93,nibh ligula nec sem duis aliquam convallis nunc proin at turpis a pede posuere nonummy integer non,1851-07-09
12,201,hac habitasse platea dictumst morbi vestibulum velit id pretium iaculis diam erat fermentum justo nec condimentum neque,1991-11-09
13,338,metus vitae ipsum aliquam non mauris morbi non lectus aliquam sit amet diam in magna bibendum,1269-05-21
14,66,pulvinar lobortis est phasellus sit amet erat nulla tempus vivamus in felis,1647-06-07
15,281,feugiat et eros vestibulum ac est lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet sapien urna pretium,1335-10-30
16,399,ut suscipit a feugiat et eros vestibulum ac est lacinia nisi venenatis tristique,1218-07-29
17,88,ut odio cras mi pede malesuada in imperdiet et commodo vulputate justo in blandit ultrices enim lorem ipsum dolor sit,1502-03-09
18,179,ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae duis faucibus,1459-02-13
19,332,amet erat nulla tempus vivamus in felis eu sapien cursus vestibulum proin eu mi nulla,1650-07-30
20,199,vestibulum ac est lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet sapien,1939-12-27
21,357,proin at turpis a pede posuere nonummy integer non velit donec diam neque vestibulum eget,1510-02-26
22,3,pede ullamcorper augue a suscipit nulla elit ac nulla sed vel enim,1597-01-23
23,44,in faucibus orci luctus et ultrices posuere cubilia curae duis faucibus accumsan odio curabitur convallis duis consequat dui,1270-05-26
24,368,suspendisse potenti nullam porttitor lacus at turpis donec posuere metus vitae ipsum aliquam non mauris,1817-08-07
25,287,erat curabitur gravida nisi at nibh in hac habitasse platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget,1612-04-28
26,201,integer ac neque duis bibendum morbi non quam nec dui luctus rutrum nulla tellus in,1987-12-31
27,260,nisi vulputate nonummy maecenas tincidunt lacus at velit vivamus vel nulla eget eros elementum pellentesque,1603-03-02
28,175,maecenas pulvinar lobortis est phasellus sit amet erat nulla tempus vivamus in felis eu sapien cursus vestibulum,1858-01-29
29,183,nulla eget eros elementum pellentesque quisque porta volutpat erat quisque,1679-02-10
30,320,nibh quisque id justo sit amet sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere,1912-10-23
31,276,sed sagittis nam congue risus semper porta volutpat quam pede lobortis ligula sit amet eleifend pede libero quis orci,1694-04-23
32,72,aliquet at feugiat non pretium quis lectus suspendisse potenti in eleifend quam,1389-02-21
33,387,at turpis a pede posuere nonummy integer non velit donec diam,1426-11-24
34,356,dolor sit amet consectetuer adipiscing elit proin interdum mauris non ligula pellentesque ultrices phasellus id sapien in,1935-05-22
35,217,eget tincidunt eget tempus vel pede morbi porttitor lorem id ligula,1717-01-14
36,348,eu magna vulputate luctus cum sociis natoque penatibus et magnis dis parturient montes nascetur,1502-04-06
37,144,cras non velit nec nisi vulputate nonummy maecenas tincidunt lacus at velit vivamus vel nulla,1713-08-27
38,299,adipiscing lorem vitae mattis nibh ligula nec sem duis aliquam convallis nunc proin at turpis a,1232-03-09
39,148,vel est donec odio justo sollicitudin ut suscipit a feugiat et eros vestibulum ac est lacinia nisi venenatis,1625-06-10
40,16,fusce posuere felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui,1727-08-05
41,382,quam a odio in hac habitasse platea dictumst maecenas ut,1883-06-29
42,69,sit amet eleifend pede libero quis orci nullam molestie nibh in lectus pellentesque at nulla suspendisse potenti,1834-01-30
43,143,dolor quis odio consequat varius integer ac leo pellentesque ultrices mattis odio donec vitae nisi nam ultrices libero non mattis,1990-10-28
44,123,cursus id turpis integer aliquet massa id lobortis convallis tortor risus dapibus augue vel,1515-10-08
45,240,quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit amet cursus id turpis integer aliquet massa id lobortis convallis,1977-01-25
46,286,cubilia curae mauris viverra diam vitae quam suspendisse potenti nullam porttitor lacus at turpis donec,1748-03-31
47,381,at dolor quis odio consequat varius integer ac leo pellentesque ultrices mattis odio donec vitae nisi nam,1271-06-18
48,78,eu interdum eu tincidunt in leo maecenas pulvinar lobortis est phasellus sit amet erat,1740-08-22
49,264,condimentum curabitur in libero ut massa volutpat convallis morbi odio odio elementum eu interdum eu,1745-08-11
50,357,non ligula pellentesque ultrices phasellus id sapien in sapien iaculis congue vivamus metus arcu adipiscing,1425-04-30
51,147,vivamus vestibulum sagittis sapien cum sociis natoque penatibus et magnis dis parturient montes,1873-07-17
52,364,nulla ut erat id mauris vulputate elementum nullam varius nulla facilisi cras,1461-01-09
53,21,nullam molestie nibh in lectus pellentesque at nulla suspendisse potenti cras in purus eu,1740-10-19
54,197,amet consectetuer adipiscing elit proin risus praesent lectus vestibulum quam sapien varius ut blandit non interdum in ante vestibulum ante,1728-07-11
55,331,felis sed interdum venenatis turpis enim blandit mi in porttitor pede justo eu,1956-04-17
56,298,felis donec semper sapien a libero nam dui proin leo odio porttitor id,1549-07-13
57,357,vitae quam suspendisse potenti nullam porttitor lacus at turpis donec posuere metus vitae ipsum aliquam non,1337-03-05
58,357,libero convallis eget eleifend luctus ultricies eu nibh quisque id,1528-04-14
59,194,velit donec diam neque vestibulum eget vulputate ut ultrices vel augue vestibulum ante ipsum primis in faucibus orci luctus,1373-01-22
60,277,maecenas leo odio condimentum id luctus nec molestie sed justo pellentesque viverra pede ac,1700-11-07
61,273,lectus vestibulum quam sapien varius ut blandit non interdum in,1272-02-28
62,333,aenean fermentum donec ut mauris eget massa tempor convallis nulla,1458-12-11
