HRActionID,ActionType,HRA_Date,Description,EmployeeID
1,eu mi nulla ac enim in tempor turpis nec euismod scelerisque quam turpis adipiscing,2024-02-24,Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.,327
2,mattis nibh ligula nec sem duis aliquam convallis nunc proin at turpis a pede,2022-10-20,"In congue. Etiam justo. Etiam pretium iaculis justo.

In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.

Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.",249
3,molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc,2021-09-19,"Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",111
4,pede libero quis orci nullam molestie nibh in lectus pellentesque at,2020-09-25,"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.

Phasellus in felis. Donec semper sapien a libero. Nam dui.

Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius.",40
5,justo morbi ut odio cras mi pede malesuada in imperdiet et commodo vulputate justo in blandit ultrices enim lorem,2020-09-17,Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.,199
6,magna bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt eu felis fusce posuere felis sed,2023-03-09,Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.,150
7,nulla eget eros elementum pellentesque quisque porta volutpat erat quisque erat eros viverra eget congue eget semper rutrum,2021-07-31,"Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.

Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.

Phasellus in felis. Donec semper sapien a libero. Nam dui.",152
8,turpis enim blandit mi in porttitor pede justo eu massa donec,2023-10-17,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.

Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.

Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.",310
9,tincidunt eu felis fusce posuere felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet,2023-05-04,Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.,170
10,dignissim vestibulum vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae nulla dapibus dolor vel,2022-06-10,Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.,182
